Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
FLRP11	Shoppings	1.209,43	5,45%	5,73%	0,70	78.893.500	13.203	1	1.754,53	113,04	6,44%	1,58%
FMOF11	Lajes Corporativas	65,10	0,55%	0,05%	0,53	33.071.300	1.091	2	1.960,80	160,98	8,21%	39,48%
FPAB11	Lajes Corporativas	218,00	7,46%	7,02%	0,53	163.500.000	7.797	2	3.574,98	397,12	11,11%	30,35%
FPNG11	Lajes Corporativas	70,00	9,24%	6,45%	0,41	69.335.000	725	6	4.281,98	489,09	11,42%	27,37%
FVPQ11	Shoppings	105,03	4,68%	5,87%	0,53	294.100.000	162.590	1	5.116,63	672,37	13,14%	5,52%
GALG11	Híbrido	97,50	9,82%	11,16%	0,98	547.271.000	1.316.490	6	1.040,29	76,29	7,33%	0,00%
GCFF11	Títulos e Val. Mob.	77,96	3,42%	11,91%	0,85	26.397.100	70.406	0	0,00	0,00	0,00%	0,00%
GCRA11	Híbrido	102,20	0,73%	0,00%	1,03	73.849.600	66.295	0	0,00	0,00	0,00%	0,00%
GCRI11	Títulos e Val. Mob.	98,45	4,87%	9,58%	0,98	98.481.500	182.658	0	0,00	0,00	0,00%	0,00%
GGRC11	Logística	113,57	9,94%	8,05%	0,86	881.125.000	1.313.260	19	1.030,20	101,70	9,87%	0,00%
GTLG11	Logística	100,00	0,67%	2,11%	1,01	717.300.000	258.146	0	0,00	0,00	0,00%	0,00%
GTWR11	Lajes Corporativas	81,92	9,73%	9,91%	0,83	983.040.000	762.309	3	10.882,50	1.150,52	10,57%	0,00%
HAAA11	Lajes Corporativas	96,00	5,47%	7,11%	1,02	331.680.000	721	2	21.997,40	922,26	4,19%	9,89%
HABT11		108,84	8,20%	16,39%	1,12	807.883.000	2.720.410	0	0,00	0,00	0,00%	0,00%
HBCR11	Outros	108,40	8,72%	7,38%	1,26	29.484.800	8.075	3	3.002,43	263,57	8,78%	0,00%
HBRH11	Híbrido	86,35	8,04%	10,08%	0,77	239.380.000	423.958	4	9.920,60	794,35	8,01%	0,00%
HCHG11	Outros	88,48	1,96%	5,01%	0,92	106.176.000	16.056	0	0,00	0,00	0,00%	0,00%
HCRI11	Hospital	345,52	10,82%	10,33%	1,13	69.104.000	30.971	1	12.633,60	1.425,62	11,28%	0,00%
HCTR11		124,50	6,72%	15,90%	1,06	2.528.900.000	7.660.300	0	0,00	0,00	0,00%	0,00%
HFOF11	Títulos e Val. Mob.	77,59	10,07%	9,88%	0,89	1.783.560.000	1.481.330	0	0,00	0,00	0,00%	0,00%
HGBS11	Shoppings	167,92	7,04%	5,48%	0,78	1.679.200.000	1.707.640	12	3.232,90	148,51	4,59%	5,39%
HGCR11	Títulos e Val. Mob.	105,97	6,62%	10,10%	1,03	1.311.110.000	2.387.930	0	0,00	0,00	0,00%	0,00%
HGFF11	Títulos e Val. Mob.	73,20	7,31%	8,69%	0,80	209.615.000	563.102	0	0,00	0,00	0,00%	0,00%
HGIC11		107,48	3,70%	8,33%	1,00	27.637.000	408.550	0	0,00	0,00	0,00%	0,00%
