Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
BRGE12	6,98	22,57	0,41	74,673	0,01%	0,168	0,41	-1,05	0,90	2,07	2,07	-7.083,11%	403,81%	3,24	-31,65%	1,83%	6.074,21	1.247.620.000,00	0,00	-21,73%
BRGE3	7,00	22,64	0,41	74,887	0,01%	0,168	0,41	-1,06	0,90	2,06	2,07	-7.083,11%	403,81%	3,24	-31,65%	1,83%	1.518,77	1.247.620.000,00	0,00	-21,73%
BAUH4	84,78	22,65	4,49	2,441	0,79%	2,929	-93,13	124,33	-55,20	121,15	53,65	1,96%	10,78%	0,90	3,33%	19,84%	36.724,00	98.559.000,00	0,00	3,78%
BRGE11	7,01	22,67	0,41	74,994	5,37%	0,169	0,41	-1,06	0,90	2,06	2,07	-7.083,11%	403,81%	3,24	-31,65%	1,83%	101,58	1.247.620.000,00	0,00	-21,73%
MILS3	6,07	23,04	1,41	2,295	3,09%	1,054	3,78	13,53	7,21	12,59	5,51	16,96%	9,95%	3,38	10,47%	6,11%	7.457.260,00	1.088.030.000,00	0,20	26,39%
LJQQ3	9,65	23,17	3,40	0,916	1,47%	0,692	2,35	9,25	-6,13	8,48	6,09	9,91%	3,95%	1,76	11,00%	14,69%	26.962.200,00	530.972.000,00	0,56	0,00%
RAIZ4	6,38	23,24	3,54	0,423	0,00%	0,627	10,69	14,68	-1,99	21,50	12,87	2,88%	1,85%	1,13	5,39%	15,22%	55.514.500,00	18.671.900.000,00	2,01	0,00%
BMIN4	18,80	23,86	0,72	0,000	10,37%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	3,01%	7.985,65	126.234.000,00	0,00	-16,35%
POWE3	10,93	23,98	0,99	0,620	0,48%	0,379	6,59	17,65	-3,02	10,68	10,06	3,51%	2,59%	1,13	3,54%	4,13%	5.134.990,00	988.330.000,00	0,04	0,00%
CSED3	5,56	24,87	1,47	1,176	2,71%	0,444	2,83	7,30	-1,06	7,53	4,51	16,11%	4,73%	2,31	8,04%	5,89%	5.333.860,00	1.448.400.000,00	0,81	0,00%
PNVL3	13,09	24,95	1,91	0,628	1,34%	0,873	3,14	26,00	21,88	32,40	10,98	2,41%	2,52%	1,91	4,42%	7,67%	7.490.040,00	1.029.350.000,00	0,67	9,09%
SULA11	23,98	25,14	1,24	0,529	0,94%	0,369	1,01	261,80	-11,49	-106,52	-23,29	0,20%	2,11%	2,19	0,35%	4,92%	79.781.100,00	8.256.910.000,00	0,25	2,91%
SBFG3	23,24	25,21	2,58	1,249	0,00%	0,793	3,40	18,73	-5,52	24,65	12,28	6,67%	4,95%	1,74	5,28%	10,23%	21.806.100,00	2.189.360.000,00	1,07	66,70%
SULA4	8,03	25,25	1,24	0,532	0,93%	0,370	1,02	263,00	-11,55	-105,32	-23,03	0,20%	2,11%	2,19	0,35%	4,92%	179.158,00	8.256.910.000,00	0,25	2,91%
BMIN3	20,00	25,39	0,76	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	3,01%	541,00	126.234.000,00	0,00	-16,35%
BMKS3	230,00	25,42	0,55	5,363	3,45%	0,490	0,65	-48,33	0,74	14,65	200,71	-11,10%	21,10%	37,44	-2,97%	2,16%	11.405,10	190.364.000,00	0,01	8,71%
SULA3	8,11	25,51	1,25	0,537	0,92%	0,374	1,03	265,62	-11,66	-102,70	-22,45	0,20%	2,11%	2,19	0,35%	4,92%	127.769,00	8.256.910.000,00	0,25	2,91%
TFCO4	10,69	27,11	6,95	4,221	5,54%	4,059	7,47	21,10	11,32	21,28	20,53	20,01%	15,57%	3,35	25,27%	25,65%	2.859.420,00	245.575.000,00	0,32	0,00%
AFLT3	8,60	27,54	3,04	13,958	7,33%	2,762	12,29	27,22	17,21	26,26	26,15	51,28%	50,68%	9,63	11,41%	11,02%	4.106,67	178.674.000,00	0,00	10,78%
